INSTITUTE_NAME,DEPARTMENT,RANK_PREDICTOR,CATEGORY
IIT indore,Computer Engineering,1417,OBC
ISM Dhanbad,Petroleum (with M. Tech in Petroleum Management),1421,SC
IIT Kharagpur,Civil (any specialization),1423,OBC
IIT Madras,Chemical Engineering,1439,OBC
IIT (BHU) Varanasi,Computer Engineering,1447,GENERAL
IIT Madras,Aerospace *,1454,OBC
IIT Guwahati,Civil Engineering,1454,OBC
IIT (BHU) Varanasi,Metallurgical Engineering,1458,SC
IIT Bhubaneshwar,Computer Engineering,1483,OBC
IIT Kharagpur,Agricultural & Food Engineering,1486,SC
IIT (BHU) Varanasi,Metallurgical Engineering,1491,SC
ISM Dhanbad,Mining Engineering,1492,SC
IIT Kanpur,Biological Sc. & Bioengineering,1493,SC
IIT (BHU) Varanasi,Mining Engineering,1499,SC
IIT Madras,Engineering Physics,1524,OBC
IIT Delhi,Engineering Physics,1524,OBC
IIT Kharagpur,Mathematics & Computing,1528,OBC
IIT Gandhinagar,Electrical Engineering,1529,OBC
IIT (BHU) Varanasi,Material Science,1534,SC
IIT (BHU) Varanasi,Civil Engineering,1535,OBC
ISM Dhanbad,Mining Machinery,1546,SC
IIT Madras,Mechanical (Intelligent Manufacturing),1548,GENERAL
IIT Madras,Mechanical (Product Design),1552,GENERAL
IIT Kharagpur,Mining Engineering,1555,SC
IIT Roorkee,Chemical Engineering,1556,OBC
IIT Kharagpur,Biotechnology & Biochemical Engineering,1559,SC
IIT Kharagpur,Chemical Engineering,1564,OBC
IIT Madras,Engineering Design(Automotive),1578,OBC
IIT Kanpur,Mathematics & Scientific Computing,1579,OBC
IIT (BHU) Varanasi,Mining Engineering,1587,SC
ISM Dhanbad,Mining Engineering,1589,SC
IIT Roorkee,Biotechnology,1591,SC
IIT Kanpur,Chemistry,1592,SC
IIT Roorkee,Polymer Science Technology,1601,SC
IIT Madras,Biological Sciences,1603,SC
IIT (BHU) Varanasi,Computer Science & Engineering,1608,GENERAL
IIT Hydrabad,Civil Engineering,1610,OBC
IIT (BHU) Varanasi,Mathematics & Computing,1628,OBC
IIT (BHU) Varanasi,Civil with M. Tech in Structural Engineering,1633,OBC
IIT Kharagpur,Mining Safety Engineering,1635,SC
IIT Guwahati,Biotechnology,1639,SC
IIT Hydrabad,Computer Engineering,1640,GENERAL
IIT Roorkee,Pulp & Paper Engineering,1647,SC
IIT Ropar,Mechanical Engineering,1650,OBC
IIT Kharagpur,Agriculture & Food *,1657,SC
ISM Dhanbad,Mining Engineering with MBA,1663,SC
IIT (BHU) Varanasi,Ceramic Engineering,1666,SC
ISM Dhanbad,Computer Engineering,1666,OBC
IIT Kharagpur,Manufacturing Engineering,1671,OBC
IIT Bombay,Aerospace Engineering,1674,GENERAL
