Restaurant_Name,URLs
Arsalan Shawarma King,https://www.zomato.com/mumbai/arsalan-shawarma-king-malad-west
The Nutcracker,https://www.zomato.com/mumbai/the-nutcracker-fort
Bikaji Food Junxon,https://www.zomato.com/mumbai/bikaji-food-junxon-malad-west
Havana Café & Bar - The Gordon House Hotel,https://www.zomato.com/mumbai/havana-café-bar-the-gordon-house-hotel-colaba
Peshawri - ITC Maratha,https://www.zomato.com/mumbai/peshawri-itc-maratha-chakala
Mia Cucina,https://www.zomato.com/mumbai/mia-cucina-powai
Bombay Brasserie,https://www.zomato.com/mumbai/bombay-brasserie-worli
Mizu,https://www.zomato.com/mumbai/mizu-worli
Craftbar,https://www.zomato.com/mumbai/craftbar-bandra-east
Mizu,https://www.zomato.com/mumbai/mizu-worli
Mia Cucina,https://www.zomato.com/mumbai/mia-cucina-powai
Bombay Brasserie,https://www.zomato.com/mumbai/bombay-brasserie-worli
Quarter Pillar,https://www.zomato.com/mumbai/quarter-pillar-andheri-lokhandwala
Khow Chow,https://www.zomato.com/mumbai/khow-chow-linking-road-bandra-west
Craftbar,https://www.zomato.com/mumbai/craftbar-bandra-east
The Little Easy,https://www.zomato.com/mumbai/the-little-easy-linking-road-bandra-west
Kath N Ghat,https://www.zomato.com/mumbai/kath-n-ghat-panch-pakhadi-thane-west
Bhagat Tarachand,https://www.zomato.com/mumbai/bhagat-tarachand-2-vashi-navi-mumbai
Jugaadi Adda,https://www.zomato.com/mumbai/jugaadi-adda-1-worli
Bagdadi,https://www.zomato.com/mumbai/bagdadi-colaba
Mao The Family Restaurant,https://www.zomato.com/mumbai/mao-the-family-restaurant-azad-nagar
Matahaari,https://www.zomato.com/mumbai/matahaari-worli
Bora Bora,https://www.zomato.com/mumbai/bora-bora-1-juhu
Out Of The Blue,https://www.zomato.com/mumbai/out-of-the-blue-1-khar
Naka,https://www.zomato.com/mumbai/naka-owale-thane-west-thane
Mangii Ferra,https://www.zomato.com/mumbai/mangii-ferra-juhu
Shakey Wakey,https://www.zomato.com/mumbai/shakey-wakey-oshiwara
MexiChino,https://www.zomato.com/mumbai/mexichino-borivali-west
Singh Saab,https://www.zomato.com/mumbai/singh-saab-chembur
Rodeo Pizza,https://www.zomato.com/mumbai/rodeo-pizza-7-bungalows
The Great Indian Dhaba,https://www.zomato.com/mumbai/the-great-indian-dhaba-oshiwara
